dsdbestDenmark,dsdbestSweden,dsdMPSweden,dsdoffshoreSweden,dsdbestGlasgow,dsdMPGlasgow,dsdoffshoreGlasgow,,,,
"8,44325184979355","12,4474862506593","8,37191187866361","12,4859808573676","6,72157678076442","4,50614391351788","6,51457434580278",,,,
"8,37309164273928","12,3440523808438","8,30234447959787","12,3822271120319","6,66572303779202","4,46869957387089","6,460440714223",,,,
"8,30371383091947","12,2417719592608","8,23355286503716","12,2796303820375","6,61049215076836","4,43167279674441","6,40691075667941",,,,
"8,23510747861077","12,1406288638915","8,16552619165788","12,1781744955071","6,55587541388844","4,39505774576828","6,35397603547715",,,,
"8,16726183366579","12,0406072433544","8,09825379816124","12,0778435520378","6,50186426748999","4,35884868254639","6,30162825456335",,,,
"8,10016632391851","11,9416915116058","8,03172520170916","11,9786219173852","6,44845029519188","4,32303996473828","6,24985925675371",,,,
"8,03381055367024","11,8438663427595","7,96593009443981","11,880494218267","6,3956252210966","4,28762604418369","6,19866102102112",,,,
"7,96818430025382","11,7471166660218","7,90085834006089","11,7834453372819","6,34338090705506","4,25260146506887","6,1480256598447",,,,
"7,90327751067417","11,651427660738","7,83649997051858","11,6874604079416","6,29170934999222","4,2179608621337","6,09794541661776",,,,
"7,83908029832346","11,5567847515506","7,77284518274044","11,5925248098134","6,24060267929201","4,18369895891853","6,04841266311329",,,,
"7,77558293976876","11,4631736036631","7,7098843354502","11,4986241637694","6,19005315424005","4,14981056604976","5,99941989700543",,,,
"7,71277587161057","11,3705801182085","7,64760794605285","11,4057443273412","6,14005316152275","4,11629057956329","5,95095973944558",,,,
"7,65064968741042","11,2789904277202","7,58600668758821","11,3138713901762","6,09059521278143","4,08313397926475","5,90302493269186",,,,
"7,58919513468582","11,1883908917015","7,5250713857512","11,2229916695937","6,04167194221997","4,05033582712569","5,85560833779042",,,,
"7,52840311197088","11,0987680922925","7,46479301597739","11,133091706238","5,9932761042649","4,0178912657149","5,80870293230759",,,,
"7,46826466594105","11,0101088300308","7,405162700592","11,0441582598267","5,94540057127636","3,98579551666385","5,76230180811135",,,,
"7,40877098860036","10,9224001197052","7,34617170602086","10,9561783049911","5,89803833130891","3,95404387916555","5,71639816920111",,,,
"7,34991341452965","10,8356291862988","7,28781144006197","10,8691390272067","5,85118248592093","3,92263172850589","5,67098532958452",,,,
"7,29168341819432","10,7497834610197","7,23007344921591","10,7830278188119","5,80482624803124","3,89155451462685","5,62605671120017",,,,
"7,23407261131007","10,6648505774176","7,17294941607394","10,6978322751125","5,75896293982212","3,86080776072058","5,58160584188513",,,,
"7,17707274026539","10,5808183675842","7,11643115676216","10,61354019057","5,71358599068731","3,83038706185375","5,53762635338617",,,,
"7,12067568359923","10,4976748584342","7,06051061844059","10,5301395550716","5,66868893522402","3,80028808362148","5,49411197941365",,,,
"7,06487344953271","10,4154082680664","7,00517987685566","10,4476185502801","5,62426541126797","3,77050656082992","5,45105655373698",,,,
"7,0096581735534","10,3340070022027","6,95043113394493","10,3659655460613","5,58030915797024","3,74103829620703","5,40845400832078",,,,
"6,95502211605103","10,2534596507024","6,8962567154928","10,2851690969878","5,53681401391512","3,71187915914079","5,36629837150065",,,,
